QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,P_BID,P_ASK,STRIKE,P_IV,MONEYNESS
2016-01-20,198.7,2017-01-20,18.55,19.94,150.0,0.53022,0.75
2016-01-20,198.7,2017-01-20,20.4,21.31,155.0,0.52039,0.78
2016-01-20,198.7,2017-01-20,22.2,23.35,160.0,0.51423,0.81
2016-01-20,198.7,2017-01-20,24.55,25.8,165.0,0.51357,0.83
2016-01-20,198.7,2017-01-20,26.7,28.05,170.0,0.50896,0.86
2016-01-20,198.7,2017-01-20,27.7,30.36,175.0,0.49457,0.88
2016-01-20,198.7,2017-01-20,30.25,32.75,180.0,0.49117,0.91
2016-01-20,198.7,2017-01-20,33.89,35.3,185.0,0.49398,0.93
2016-01-20,198.7,2017-01-20,36.25,38.45,190.0,0.49128,0.96
2016-01-20,198.7,2017-01-20,39.16,40.6,195.0,0.48464,0.98
2016-01-20,198.7,2017-01-20,42.1,43.7,200.0,0.48296,1.01
2016-01-20,198.7,2017-01-20,48.0,49.64,210.0,0.47387,1.06
2016-01-20,198.7,2017-01-20,54.46,56.0,220.0,0.46666,1.11
2016-01-20,198.7,2017-01-20,61.2,63.95,230.0,0.46734,1.16
2016-01-20,198.7,2017-01-20,68.36,69.85,240.0,0.45254,1.21
2016-01-20,198.7,2017-01-20,75.66,76.64,250.0,0.44105,1.26
2016-01-20,198.7,2017-01-20,83.59,85.55,260.0,0.44536,1.31
